pwm_us,rpm,current_A,voltage_V,power_W,force_kgf,force_N
1552,630.43,0.1,16,1.6,0.154221,1.512394
1556,688.25,0.1,16,1.6,0.181437,1.779287
1560,749.32,0.2,16,3.2,0.217724,2.135145
1564,803.61,0.2,16,3.2,0.249476,2.44652
1568,859.4,0.2,16,3.2,0.290299,2.84686
1572,906.13,0.3,16,4.8,0.32205,3.158235
1576,961.53,0.4,16,6.4,0.358338,3.514092
1580,1007.38,0.4,16,6.4,0.399161,3.914432
1584,1056.66,0.5,16,8,0.435448,4.270289
1588,1104.32,0.5,16,8,0.471736,4.626147
1592,1147.5,0.6,16,9.6,0.512559,5.026486
1596,1194.61,0.7,16,11.2,0.557918,5.471308
1600,1237.07,0.8,16,12.8,0.603277,5.91613
1604,1278.89,0.8,16,12.8,0.639565,6.271987
1608,1319.08,0.9,16,14.4,0.680388,6.672327
1612,1359.21,1,16,16,0.721211,7.072667
1616,1408.65,1.1,16,17.6,0.775642,7.606453
1620,1443.5,1.2,16,19.2,0.816466,8.006792
1624,1479.63,1.3,16,20.8,0.870897,8.540579
1628,1516.03,1.45,16,23.2,0.907184,8.896436
1632,1548.64,1.5,16,24,0.948007,9.296776
1636,1583.02,1.6,16,25.6,0.993366,9.741597
1640,1628.86,1.8,16,28.8,1.03419,10.141937
1644,1668.42,2,16,32,1.097693,10.764688
1648,1699.09,2.1,16,33.6,1.143052,11.209509
1652,1739.95,2.2,16,35.2,1.183875,11.609849
1656,1766.18,2.4,16,38.4,1.238306,12.143635
1660,1802.32,2.6,16,41.6,1.279129,12.543975
1664,1835.1,2.8,16,44.8,1.329025,13.033279
1668,1865.47,2.9,16,46.4,1.387992,13.611547
1672,1900.85,3.1,16,49.6,1.437887,14.100851
1676,1929.78,3.3,16,52.8,1.483246,14.545673
1680,1960.82,3.5,16,56,1.537677,15.079459
1684,1994.08,3.7,16,59.2,1.587572,15.568763
1688,2030.99,3.9,16,62.4,1.651075,16.191513
1692,2071.37,4.1,16,65.6,1.691898,16.591853
1696,2106.28,4.3,16,68.8,1.759937,17.259086
1700,2128.7,4.58,16,73.28,1.82344,17.881836
1704,2160.39,4.7,16,75.2,1.877871,18.415622
1708,2189.6,5,16,80,1.932302,18.949409
1712,2219.18,5.2,16,83.2,1.991269,19.527677
1716,2243.76,5.42,16,86.72,2.0457,20.061463
1720,2266.35,5.69,16,91.04,2.122811,20.81766
1724,2305.35,5.9,16,94.4,2.177242,21.351446
1728,2341.59,6.19,16,99.04,2.218065,21.751786
1732,2391.8,6.4,16,102.4,2.277032,22.330054
1736,2415.81,6.7,16,107.2,2.381358,23.353144
1740,2445.98,7,16,112,2.431253,23.842448
1744,2475.13,7.4,16,118.4,2.517436,24.68761
1748,2497.91,7.7,16,123.2,2.576403,25.265878
1752,2537.88,8.04,16,128.64,2.653513,26.022075
1756,2583.51,8.4,16,134.4,2.730624,26.778272
1760,2608.66,8.7,16,139.2,2.757839,27.045165
1764,2639.26,9.03,16,144.48,2.839486,27.845845
1768,2663.25,9.34,16,149.44,2.889381,28.335149
1772,2688.12,9.69,16,155.04,2.975564,29.18031
1776,2710.8,10.01,16,160.16,3.052674,29.936507
1780,2735.48,10.4,16,166.4,3.107105,30.470293
1784,2765.9,10.68,16,170.88,3.170608,31.093044
1788,2809.4,10.9,16,174.4,3.215967,31.537866
1792,2822.46,11.3,16,180.8,3.30215,32.383027
1796,2853.6,11.64,16,186.24,3.374724,33.094742
1800,2888,11.93,16,190.88,3.420084,33.539564
1804,2903.17,12.38,16,198.08,3.510802,34.429207
1808,2933.63,12.79,16,204.64,3.606056,35.363333
1812,2973.17,13.14,16,210.24,3.683167,36.11953
1816,3001.72,13.54,16,216.64,3.737598,36.653316
1820,3041.86,13.99,16,223.84,3.819245,37.453995
1824,3065.09,14.46,16,231.36,3.887283,38.121228
1828,3107.61,14.86,16,237.76,3.955322,38.788461
1832,3124.51,15.4,16,246.4,4.059648,39.811551
1836,3153.38,15.86,16,253.76,4.145831,40.656712
1840,3180.33,16.41,16,262.56,4.254693,41.724285
1844,3204.34,16.97,16,271.52,4.304588,42.213589
1848,3242.32,17.42,16,278.72,4.381699,42.969786
1852,3260.1,18,16,288,4.508704,44.215287
1856,3299.33,18.5,16,296,4.526848,44.393216
1860,3307.84,19.13,16,306.08,4.649318,45.594234
1864,3351.13,19.59,16,313.44,4.708285,46.172503
1868,3378.76,20.15,16,322.4,4.785396,46.9287
1872,3405.6,20.67,16,330.72,4.835291,47.418004
1876,3427.86,21.13,16,338.08,4.930545,48.35213
1880,3437.91,21.8,16,348.8,5.012192,49.152809
1884,3454.99,22.38,16,358.08,5.075694,49.775559
1888,3493.84,22.81,16,364.96,5.143733,50.442792
1892,3515.95,23.28,16,372.48,5.175485,50.754167
1896,3527.23,23.9,16,382.4,5.220844,51.198989
1900,3533.445,23.83,16,381.28,5.245035,51.436227
