t,x,y,psi,u,v,r,u_d,psi_deg,psi_d_deg,xte_m,F_port_kgf,F_stbd_kgf,tau_u_N,tau_r_Nm,tau_u_cmd_N,tau_r_cmd_Nm,wp_idx
1.999999999999999833e-01,3.000258452782136182e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.739790088432197401e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.250709206114380745e+00,1.250709206114380745e+00,2.453053487228318374e+01,0.000000000000000000e+00,2.453053487228318374e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.199999999999999734e-01,3.568241665037843319e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.939780650126299633e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.207920134646296439e+00,1.207920134646296439e+00,2.369129997685820399e+01,0.000000000000000000e+00,2.369129997685820399e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999634e-01,4.175232558437482616e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.129893610030428652e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.167281025323084975e+00,1.167281025323084975e+00,2.289423293396925985e+01,0.000000000000000000e+00,2.289423293396925985e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.599999999999999534e-01,4.819312490393935777e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.310691458606197513e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128668521762020038e+00,1.128668521762020038e+00,2.213691431787502495e+01,0.000000000000000000e+00,2.213691431787502495e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.799999999999999711e-01,5.498669399793475188e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.482678841853100726e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.091972230433518209e+00,1.091972230433518209e+00,2.141717894716172310e+01,0.000000000000000000e+00,2.141717894716172310e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-01,6.211587233299474542e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.646312263626854122e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.057092524053387717e+00,1.057092524053387717e+00,2.073307280201630931e+01,0.000000000000000000e+00,2.073307280201630931e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000067e-01,6.956437129531817254e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.802008010953134010e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.023938747835224650e+00,1.023938747835224650e+00,2.008281784291661154e+01,0.000000000000000000e+00,2.008281784291661154e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000244e-01,7.731670040613235206e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.950148640260761623e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.924277519514392853e-01,9.924277519514392853e-01,1.946478322734916233e+01,0.000000000000000000e+00,1.946478322734916233e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000422e-01,8.535810530662432671e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.091088290331909572e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.624826899371862199e-01,9.624826899371862199e-01,1.887746174254501241e+01,0.000000000000000000e+00,1.887746174254501241e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000600e-01,9.367451538329767124e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.225157033374576376e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.340320351217039629e-01,9.340320351217039629e-01,1.831945051445251593e+01,0.000000000000000000e+00,1.831945051445251593e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000777e-01,1.022524992845728481e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.352664434156176543e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.070087765814748293e-01,9.070087765814748293e-01,1.778943523772543855e+01,0.000000000000000000e+00,1.778943523772543855e+01,0.000000000000000000e+00,0.000000000000000000e+00
