t,x,y,psi,u,v,r,tau_u_N,tau_r_Nm,F_port_kgf,F_stbd_kgf
2.200000000000000011e-01,4.023049923318779142e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.570683436580635584e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.399999999999999911e-01,4.767754793234937200e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.876014369305882390e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.600000000000000089e-01,5.573313790688161351e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.179213250668918356e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.800000000000000266e-01,6.439290608163091012e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.480166191584348812e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.999999999999999889e-01,7.365217377291513601e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.778672328657973534e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
3.200000000000000067e-01,8.350577810969524173e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.074449322218833602e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
3.400000000000000244e-01,9.394791531970936305e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.367139770070398219e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
3.599999999999999867e-01,1.049719979681052878e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.656318780126652346e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
3.800000000000000044e-01,1.165705286405454427e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.941502861051234374e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.000000000000000222e-01,1.287349927862961596e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.222160193337336054e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.199999999999999845e-01,1.414557734560883406e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.497722236291245679e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.400000000000000022e-01,1.547220904684598053e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.767596514026126275e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.600000000000000200e-01,1.685219661129458424e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.031180313013715155e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
4.799999999999999822e-01,1.828422188610492050e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.287874923748316469e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.000000000000000000e-01,1.976684857368614934e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.537099978978255566e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.200000000000000178e-01,2.129852730471566424e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.778307389365674007e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.400000000000000355e-01,2.287760341497447891e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.010994360899370559e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.600000000000000533e-01,2.450232719229214484e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.234715000239080096e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.799999999999999600e-01,2.617086626648055248e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.449090073772715925e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
5.999999999999999778e-01,2.788131973706196587e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.653814578748092456e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
6.199999999999999956e-01,2.963173357666027408e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.848662901987649487e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
6.400000000000000133e-01,3.142011681597345341e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.033491472441692594e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
6.600000000000000311e-01,3.324445801079896623e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.208238946127734748e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
6.800000000000000488e-01,3.510274151177478763e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.372924084283464907e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
7.000000000000000666e-01,3.699296310031864321e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.527641588185077337e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
7.199999999999999734e-01,3.891314461503964650e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.672556230335258576e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
7.399999999999999911e-01,4.086134726599753852e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.807895668300530279e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
7.600000000000000089e-01,4.283568341361143061e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.933942344419903758e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
7.800000000000000266e-01,4.483432666909263897e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.005102486479634960e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.000000000000000444e-01,4.685552024910917268e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.015950921933135742e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.200000000000000622e-01,4.889758358520622794e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025979015709549413e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.399999999999999689e-01,5.095891724577307214e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.035228297431272093e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.599999999999999867e-01,5.303800627374594123e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.043741591147915315e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
8.800000000000000044e-01,5.513342207652454086e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.051562329649923688e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
9.000000000000000222e-01,5.724382302636827902e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.058733951586983135e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
9.200000000000000400e-01,5.936795394104614765e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.065299384829620832e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
9.400000000000000577e-01,6.150464461732866317e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.071300615596062267e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
9.599999999999999645e-01,6.365280758577358533e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.076778339831105047e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
9.799999999999999822e-01,6.581143524590369331e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.081771691130757995e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.000000000000000000e+00,6.797959652790788176e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.086318038069045144e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.020000000000000018e+00,7.015643321181748160e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.090452842988128834e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.040000000000000036e+00,7.234115601887918245e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.094209574036118182e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.060000000000000053e+00,7.453304057347810430e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.097619662357323111e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.080000000000000071e+00,7.673142331814173378e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.100712496746497182e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.100000000000000089e+00,7.893569744935097221e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.103515448676155586e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.120000000000000107e+00,8.114530892839935117e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.106053921315664379e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.140000000000000124e+00,8.335975260953450983e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.108351416920677623e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.159999999999999920e+00,8.557856851713931956e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.110429617735319674e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.179999999999999938e+00,8.780133829473675267e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.112308476284443293e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.199999999999999956e+00,9.002768184105117699e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.114006311617613099e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.219999999999999973e+00,9.225725414211418673e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.115539908687333215e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.239999999999999991e+00,9.448974230333132551e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.116924618595358520e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.260000000000000009e+00,9.672486278138576754e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.118174457921517373e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.280000000000000027e+00,9.896235881270742940e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.119302205761600222e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.300000000000000044e+00,1.012019980328470847e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120319497448976964e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.320000000000000062e+00,1.034435702793437217e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121236914224478687e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.340000000000000080e+00,1.056868855694483411e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122064068357065070e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.360000000000000098e+00,1.079317722432722171e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122809683410413761e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.380000000000000115e+00,1.101780752624774262e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123481669504073688e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.400000000000000133e+00,1.124256546544500690e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.124087193538122253e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.419999999999999929e+00,1.146743840919310919e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.124632744442671806e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.439999999999999947e+00,1.169241495982753287e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125124193582858645e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.459999999999999964e+00,1.191748483688234383e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125566850500267835e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.479999999999999982e+00,1.214263876992708990e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.125965514206697327e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.500000000000000000e+00,1.236786840123744069e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.126324520268798590e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.520000000000000018e+00,1.259316619748272359e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.126647783935025959e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.540000000000000036e+00,1.281852536966446854e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.126938839561632433e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.560000000000000053e+00,1.304393980059144642e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.127200876593939638e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.580000000000000071e+00,1.326940397922747206e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.127436772354228456e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.600000000000000089e+00,1.349491294129781860e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.127649121879534144e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.620000000000000107e+00,1.372046221558768098e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.127840265042315382e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.640000000000000124e+00,1.394604777541159191e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128012311175164761e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.660000000000000142e+00,1.417166599477565958e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128167161408013541e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.679999999999999938e+00,1.439731360879489275e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128306528913133544e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.699999999999999956e+00,1.462298767796555987e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128431957239983241e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.719999999999999973e+00,1.484868555592771200e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128544836908864424e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.739999999999999991e+00,1.507440486038542193e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128646420419624929e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.760000000000000009e+00,1.530014344688237937e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128737835819421997e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.780000000000000027e+00,1.552589938515805290e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128820098961911045e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.800000000000000044e+00,1.575167093783504502e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128894124579238323e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.820000000000000062e+00,1.597745654121145664e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.128960736277893506e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.840000000000000080e+00,1.620325478795333618e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129020675559850195e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
